Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2023-10-30;55940.0;12.8;11.0
2023-10-31;54928.0;12.5;10.8
2023-11-03;59090.0;8.7;10.4
2023-11-05;53686.0;11.8;10.1
2023-11-08;64177.0;9.7;9.7
2023-11-10;63629.0;9.5;9.4
2023-11-15;60811.0;11.5;8.7
2023-11-16;62873.0;10.2;8.5
2023-12-03;71907.0;1.9;6.3
2023-12-09;63815.0;9.4;5.7
2023-12-19;74203.0;5.6;5.0
2023-12-25;52807.0;9.4;4.7
2022-01-01;55828.0;9.7;4.6
2022-01-05;78942.0;4.7;4.6
2022-01-12;82843.0;2.6;4.7
2022-01-21;83731.0;3.2;5.1
2022-01-23;74944.0;3.4;5.2
2022-02-01;79074.0;6.3;5.6
2022-02-03;74952.0;7.2;5.7
2022-02-19;65153.0;7.4;6.6
2022-02-24;71076.0;8.3;6.9
2022-02-27;64750.0;5.8;7.1
2022-03-03;68345.0;8.7;7.4
2022-03-08;75658.0;6.1;7.8
2022-03-26;51536.0;12.5;9.4
2022-04-01;72851.0;3.5;10.1
2022-04-06;66280.0;10.4;10.7
2022-04-14;56168.0;15.2;11.7
2022-04-15;52980.0;15.8;11.9
2022-04-28;53438.0;14.6;13.6
2022-04-29;52687.0;14.5;13.7
2022-04-30;47845.0;13.1;13.8
2022-05-11;52573.0;18.7;15.2
2022-05-13;52090.0;17.0;15.4
2022-05-21;47126.0;19.6;16.3
2022-05-23;52692.0;17.6;16.6
2022-05-26;46489.0;17.0;16.9
2022-05-27;48566.0;17.6;17.0
2022-05-31;52416.0;16.7;17.4
2022-06-09;52501.0;17.5;18.3
2022-06-11;47755.0;21.0;18.5
2022-06-18;50998.0;27.4;19.1
2022-06-24;52775.0;19.6;19.7
2022-06-25;47169.0;18.2;19.8
2022-06-29;53680.0;20.0;20.1
2022-07-02;47321.0;20.0;20.3
2022-07-06;54134.0;21.0;20.6
2022-07-07;54513.0;20.3;20.6
2022-07-08;54036.0;21.1;20.7
2022-07-22;55629.0;22.5;21.2
2022-07-24;46749.0;25.2;21.2
2022-07-26;53109.0;21.2;21.2
2022-07-28;52998.0;22.0;21.2
2022-07-30;46507.0;23.4;21.2
2022-08-02;52009.0;24.7;21.1
2022-08-08;49050.0;23.7;20.9
2022-08-10;50583.0;25.9;20.8
2022-08-12;51081.0;26.7;20.7
2022-08-14;42665.0;22.1;20.5
2022-08-26;52217.0;21.7;19.4
2022-08-31;53097.0;21.9;18.9
2022-09-12;51891.0;21.7;17.4
2022-09-15;51980.0;19.3;17.0
2022-10-02;45721.0;16.8;14.8
2022-10-03;52290.0;14.6;14.7
2022-10-09;45409.0;13.7;13.9
2022-10-17;51480.0;18.1;12.8
2022-10-19;51350.0;17.8;12.6
2022-10-25;51065.0;15.9;11.7
2022-10-28;49563.0;18.5;11.3
2022-10-30;43302.0;15.8;11.0
2022-10-31;46758.0;15.8;10.8
2022-11-01;46178.0;14.5;10.7
2022-11-12;49966.0;11.3;9.1
2022-11-14;59332.0;10.8;8.8
2022-11-17;59769.0;12.2;8.4
2022-11-19;55749.0;7.5;8.1
2022-11-22;66423.0;8.2;7.7
2022-11-26;58328.0;7.3;7.2
2022-12-05;75318.0;3.8;6.1
2022-12-14;78190.0;3.9;5.3
2022-12-16;78907.0;2.0;5.2
2022-12-25;48643.0;10.9;4.7
2023-01-03;64031.0;8.4;4.6
2023-01-08;57139.0;9.2;4.7
2023-01-16;73496.0;5.5;4.9
